session,user,Cluster,Distance,Distance_Cluster_1,Distance_Cluster_2,Distance_Cluster_3,Distance_Cluster_4,Distance_Cluster_5,Distance_Cluster_6,Distance_Cluster_7,Distance_Cluster_8,Distance_Cluster_9,Distance_Cluster_10
session_0032069206,user12,1,0.2629313952,0.2629313952,1.8219483752,3.3282731499,34.887574607,7.3328086112,2.7038186256,27.927376679,16.891213663,70.857398764,10.733628215
session_0126772600,user12,6,0.5671086625,0.9125833696,5.3047905202,6.0213580864,40.672072371,11.574765871,0.5671086625,37.340552519,19.675499605,79.979503453,14.250895724
session_0166199610,user12,3,20.079771631,40.886999083,36.371383499,20.079771631,87.702281027,50.465802435,48.038985012,71.514927887,68.497974029,126.80540018,40.073218959
session_0170625567,user12,1,0.5307095755,0.5307095755,2.28638355,1.6920945745,39.194449872,8.8700581855,2.6618071726,31.094784648,19.931270724,76.837423592,11.358987001
session_0172860263,user12,3,1.0742443173,1.4071079933,3.8327256489,1.0742443173,42.371612123,11.653170515,2.7438362795,36.254258498,21.881386699,81.480331876,11.645713542
session_0172989910,user12,6,0.3201374954,3.1090047013,9.492169175,5.6366518003,50.524847928,19.147531266,0.3201374954,49.987547473,26.121036674,94.188992731,17.931459577
session_0184498835,user12,1,0.2399205739,0.2399205739,1.1549658438,5.0633061701,31.221128263,4.6982480871,3.6505643776,23.630451134,14.696938964,65.21467688,9.9373406336
session_0195566274,user12,1,2.5001607977,2.5001607977,2.5296582912,11.249185094,29.23778239,3.0201645524,7.204541986,18.134569236,14.771714877,60.548643128,13.654983667
session_0473936924,user12,6,0.4296259637,4.1325032327,11.403811528,7.3422375379,53.801188427,21.412740312,0.4296259637,53.648110282,28.31211039,98.719782051,20.459911337
session_0496948047,user12,2,1.5633213575,5.1295844312,1.5633213575,10.237597895,27.165080092,1.615107164,13.308197071,10.778362617,15.924011654,54.95222122,12.669472064
session_0503653355,user12,5,0.4437055161,5.0198551218,1.6159738526,11.566467581,23.806384204,0.4437055161,13.306034871,9.9643911478,13.407269764,50.401135982,11.15327304
session_0545152840,user12,1,0.2904440227,0.2904440227,1.0636826083,2.8825956506,35.144175925,5.9544869646,3.6193976843,25.503657811,17.6001444,70.608208995,10.600085802
session_0610569527,user12,3,4.3841137473,8.8062020753,4.4468334581,4.3841137473,37.872628057,9.6307300937,16.988028675,21.840963991,24.516767282,68.893943877,12.688642501
session_0611188910,user12,6,0.589611335,2.145558557,7.4874734611,7.601489004,43.741831162,15.03768723,0.589611335,41.658821187,21.806280458,84.373011049,17.283877278
