session,user,Cluster,Distance,Distance_Cluster_1,Distance_Cluster_2,Distance_Cluster_3,Distance_Cluster_4,Distance_Cluster_5,Distance_Cluster_6,Distance_Cluster_7,Distance_Cluster_8,Distance_Cluster_9,Distance_Cluster_10
session_0032069206,user12,3,0.434763856,92.654451737,71.630692168,0.434763856,266.61971682,1182.9906244,19.190027124,350.96665363,1264.4896457,0.7854044021,8.0709569689
session_0126772600,user12,9,0.0338475509,96.60257133,74.747398971,2.6565751947,273.33734148,1196.2488623,20.945986539,356.90585474,1277.5783068,0.0338475509,8.3855769895
session_0166199610,user12,3,14.987089006,117.67200093,99.098133511,14.987089006,291.98322207,1216.1622249,44.777288531,385.76716831,1295.3137443,29.24113872,33.333087504
session_0170625567,user12,3,0.2124606598,94.595699724,73.746059913,0.2124606598,269.7905055,1190.5502582,20.332245575,355.52633963,1270.9604786,1.2358397688,8.6081200093
session_0172860263,user12,3,0.4293550214,94.847837178,73.853489578,0.4293550214,270.38052999,1191.8357549,20.298731402,355.86350849,1272.2584743,0.8401039504,8.4257589271
session_0172989910,user12,9,1.2286490383,98.999565201,76.61310858,6.997505333,275.96593654,1198.1687856,23.003420081,357.65976301,1279.7454735,1.2286490383,10.381857518
session_0184498835,user12,3,0.1122988469,93.355125779,72.640929297,0.1122988469,267.55553988,1185.4823867,19.832681268,353.0020224,1266.2137493,1.48170225,8.5803639938
session_0195566274,user12,9,0.326937487,93.43983812,72.495295676,0.9625238818,268.14483972,1187.0479747,19.481955743,352.86967668,1267.3322454,0.326937487,8.0650069769
session_0473936924,user12,9,1.6119503003,97.965951523,76.394979322,7.87888976,273.92246568,1195.0787474,22.916581639,356.54548275,1274.1124636,1.6119503003,11.064799037
session_0496948047,user12,3,0.0337201845,92.56499774,72.063848526,0.0337201845,266.02345702,1182.1278608,19.630724725,351.55212614,1262.8097731,1.8762458925,8.7470333736
session_0503653355,user12,3,0.2257239557,91.136513265,70.521786446,0.2257239557,263.89847533,1177.4818183,18.649758245,348.46067794,1258.5537765,1.1582650413,8.1257518406
session_0545152840,user12,3,0.1100308506,95.305422185,74.596906848,0.1100308506,270.83903369,1193.06277,20.848467924,357.24629694,1272.996773,1.6262193756,8.98378828
session_0610569527,user12,3,2.3090788562,96.07689627,76.566302238,2.3090788562,267.72690534,1180.7654941,24.733682292,355.64174919,1261.5220195,9.3614938253,14.669080907
session_0611188910,user12,3,0.3633938056,94.614801181,73.491113495,0.3633938056,269.93341533,1190.3145523,20.182606683,355.02175488,1271.4468958,0.9239030708,8.328516313
session_0718520474,user12,9,0.0418359491,96.432628244,74.581731168,2.8385478165,273.00263495,1195.4285795,20.886495244,356.4306206,1276.7461781,0.0418359491,8.4493424326
session_0756345960,user12,3,0.1803759564,89.512739306,68.573269799,0.1803759564,260.93184872,1169.3642072,17.865496527,343.97316237,1252.604428,1.3926788037,7.884699783
session_0767152123,user12,3,0.2309056035,93.353122,73.235319737,0.2309056035,266.19430887,1181.4329503,20.967151817,352.71669555,1262.0543422,4.0711618643,10.422891422
session_0831009063,user12,3,0.1332228376,92.021463304,71.345426426,0.1332228376,265.29698403,1180.398909,19.153759906,350.18171774,1261.5033314,1.3996308286,8.3787255602
session_0840816364,user12,9,0.2133371454,95.524784427,74.096325105,1.2548082141,271.68664432,1193.9428554,20.400609169,356.23971107,1274.8600998,0.2133371454,8.1701624691
session_0846697406,user12,3,0.0334964215,92.233925694,71.943476396,0.0334964215,264.91859459,1179.1289436,19.906911734,350.67130919,1260.0455264,2.9048256383,9.4047717147
session_0890611696,user12,9,0.183889927,93.989657815,72.966095159,1.2823384285,269.09974454,1189.1100547,19.719984428,353.80625097,1269.1723298,0.183889927,8.1317323588
session_0893120027,user12,3,0.0922043359,94.70745639,73.908963255,0.0922043359,269.79437209,1190.3346195,20.536964741,355.71026252,1270.906191,1.6368716173,8.8488886561
session_0897855137,user12,9,0.1907201547,95.346330841,73.905654082,1.3027046682,271.38419877,1193.2039854,20.310561737,355.8035873,1274.1907837,0.1907201547,8.1051850517
session_0919508187,user12,3,6.389333903,107.97436699,88.564637359,6.389333903,283.64706917,1209.9010987,33.852014977,375.37380052,1289.1945815,16.471202342,21.788954758
session_1017063962,user12,3,0.2004150544,85.950020731,66.146815921,0.2004150544,254.7250312,1157.7421811,16.497727348,338.52120631,1238.7297853,1.7790045694,8.0784273244
session_1019062124,user12,3,0.0523543791,94.972314096,74.363510578,0.0523543791,270.11417498,1191.3897895,20.816903039,356.58680734,1271.3674296,1.9370950528,9.1727799362
session_1022551827,user12,9,0.1243112609,95.218834864,73.589326787,3.5448466816,270.75970146,1190.5288299,20.450491218,353.80660221,1271.3599804,0.1243112609,8.6427934003
session_1134724645,user12,3,0.20932467,92.488201029,71.812070886,0.20932467,266.20253443,1182.6825997,19.310665815,351.29681184,1263.4067393,1.1916231499,8.3525279164
session_1143731163,user12,9,0.5542456185,94.772517712,73.725637414,0.6816600533,270.35460528,1191.8192094,20.171684589,355.6043426,1272.1354098,0.5542456185,8.2850378827
session_1178629549,user12,3,0.4557907701,94.780790174,73.60923254,0.4557907701,270.27103609,1191.0662518,20.216237498,355.30635542,1272.1429319,0.7910071667,8.260918862
session_1196335015,user12,3,0.1341067319,87.215630266,66.489006726,0.1341067319,256.54419141,1158.7741018,17.114340267,338.85841306,1243.0741946,2.2672063626,8.0361948478
session_1205304288,user12,9,0.0384151725,91.559966258,69.891599924,1.9076053526,264.79771137,1177.0361446,18.413312619,346.61818319,1260.2577228,0.0384151725,7.4974720459
session_1239074582,user12,3,0.2533646312,93.14055792,72.294956741,0.2533646312,267.35373074,1184.9561237,19.565687132,352.37457388,1265.9142747,1.0934606355,8.3082596567
session_1288650341,user12,3,1.772268515,101.95931935,81.909635033,1.772268515,278.58229461,1206.1443386,26.959021758,368.5148348,1285.2980503,8.0866908914,14.500319131
session_1358651464,user12,9,0.2397964794,90.460982021,69.358517041,1.1593584814,263.00736442,1174.5288284,17.977342947,345.83465292,1256.6234456,0.2397964794,7.4720065972
session_1412721528,user12,3,0.0326002842,95.286814463,74.69179373,0.0326002842,270.25084765,1190.9582627,21.270672549,356.84103167,1271.4076105,2.7043894772,9.6227395632
session_1456340454,user12,9,0.485832975,90.790626987,70.094350745,0.7414731598,263.55117684,1176.974719,18.259771085,347.62689609,1257.737518,0.485832975,7.8776340859
session_1508041930,user12,9,0.2207822639,95.674317643,73.825680602,4.0253519921,271.38839952,1191.0448113,20.728826746,353.9467808,1272.414445,0.2207822639,8.7218061497
session_1548161375,user12,9,3.3286281142,62.167706714,50.895808093,5.298084233,213.07389191,1081.7655432,7.7635771324,302.11001621,1141.5203393,3.3286281142,10.600334398
session_1574713570,user12,9,0.0374620508,96.496089901,74.853791279,2.6814652896,273.17079671,1196.4903542,20.940204782,357.16028392,1277.0632665,0.0374620508,8.5066879435
session_1591951224,user12,9,0.0715396784,91.992402508,70.391220517,1.655225719,265.58853392,1179.0984808,18.624992382,347.85683676,1262.0235154,0.0715396784,7.4887280279
session_1593696549,user12,3,0.2066011243,90.93822586,70.271045032,0.2066011243,263.52107352,1176.4175151,18.558483154,347.87839807,1257.8076213,1.2105750782,8.117743045
session_1656689994,user12,3,0.2005850738,91.342967926,70.699807068,0.2005850738,264.22476974,1178.0929021,18.765645786,348.82393842,1259.2567319,1.2188342409,8.1613153936
session_1843905203,user12,3,0.251864085,96.082418013,75.727740773,0.251864085,270.86130624,1191.6415911,22.271925288,358.17588571,1271.9016503,4.0867695304,10.723898889
session_1928096865,user12,9,0.1907490553,92.844678327,71.611775568,1.2286816062,267.10002629,1183.8343595,19.107841769,350.80272779,1265.2153039,0.1907490553,7.8733570123
session_1956761643,user12,9,0.1570331099,96.507298134,74.586303612,3.6839657645,272.90706494,1194.599967,21.056966521,355.86382318,1275.9084615,0.1570331099,8.7166477907
