session,user,Cluster,Distance,Distance_Cluster_1,Distance_Cluster_2,Distance_Cluster_3,Distance_Cluster_4,Distance_Cluster_5,Distance_Cluster_6,Distance_Cluster_7,Distance_Cluster_8,Distance_Cluster_9,Distance_Cluster_10
session_0032069206,user12,5,0.5856577935,52.697569512,2.8183144072,2.0382231046,8.1560714686,0.5856577935,1.4138028894,81.242852909,27.551044141,68.400240219,210.30826565
session_0126772600,user12,6,0.0632544538,55.652151561,3.5788869212,6.4869543858,12.918217517,3.6317198395,0.0632544538,87.968924686,29.738854654,82.366523174,215.61265996
session_0166199610,user12,3,7.6850233589,101.75583328,32.217399522,7.6850233589,34.976137114,17.664684027,24.823880186,128.41842842,69.970832485,91.621870361,285.57270219
session_0170625567,user12,5,1.0792523035,57.72425975,4.0405881244,1.8079834898,10.283272026,1.0792523035,1.1300237437,86.813969782,31.23708832,71.509107705,220.17730469
session_0172860263,user12,6,0.8837335149,54.636354532,3.2283357467,2.1914317701,9.3649638182,0.8989050504,0.8837335149,83.656512393,28.966730635,70.864469726,214.15443657
session_0172989910,user12,6,0.6028310064,63.729160484,6.0474672821,7.8498078836,17.507931882,5.7953738465,0.6028310064,98.615008307,35.818986264,92.456683955,230.74373341
session_0184498835,user12,5,0.1445915922,49.313808036,2.4396625458,1.9972032792,6.3940787121,0.1445915922,1.9244132825,75.77909051,25.215697163,62.142759246,203.27667455
session_0195566274,user12,2,0.3711720717,40.443028749,0.3711720717,6.5942344484,3.6169944549,1.3997148354,2.9051656732,66.489734494,18.794464241,56.897834021,184.77487189
session_0473936924,user12,6,0.7277290062,62.423801685,5.7056381177,9.4082207477,17.435068416,6.4419679648,0.7277290062,97.659756615,34.875986368,92.64725436,227.85256511
session_0496948047,user12,4,0.6870725945,35.798111934,3.9580341628,9.6949951351,0.6870725945,3.7055286316,10.544419602,53.397787244,16.999059037,33.17528546,169.9991582
session_0503653355,user12,5,0.3013037435,44.302104291,1.3121272137,3.7846051608,4.4156783127,0.3013037435,2.14562386,69.270230175,21.57721785,56.25130252,193.04854847
session_0545152840,user12,5,0.2232362718,52.499865863,3.9914861887,1.040288025,6.8038500465,0.2232362718,3.3461998962,77.606408114,27.885443872,58.782247573,208.47793386
session_0610569527,user12,5,3.2137610864,51.195536314,9.0754659236,3.6360626364,5.8626190031,3.2137610864,11.892952797,69.238409848,28.848644386,40.706818015,199.38100553
session_0611188910,user12,3,0.5859179243,58.02549152,5.2320833684,0.5859179243,9.9199145357,0.9043723804,2.8226020431,85.705937583,31.981295388,68.052213288,219.23568716
session_0718520474,user12,6,0.4007235336,61.74649539,5.5316305841,6.4574914488,16.028253968,4.695733727,0.4007235336,95.377440906,34.469575651,88.325973733,226.7035644
session_0756345960,user12,5,0.7900218984,45.154685161,3.2023352763,3.4895489778,4.0394295073,0.7900218984,5.0704286689,67.983610857,23.115847625,49.61408482,191.53098528
session_0767152123,user12,3,0.1463138946,69.09658732,10.927553105,0.1463138946,15.100964847,3.4131487421,6.7661339527,96.291382447,41.211115136,72.399730101,237.54336345
session_0831009063,user12,5,0.1957865816,43.861497362,2.3379270246,2.9905575075,3.579710383,0.1957865816,4.0296728713,66.923061962,21.722355245,51.009647906,190.77821456
session_0840816364,user12,5,0.7882817478,55.492329736,3.4686341725,1.9150473553,9.255061916,0.7882817478,1.1145557153,84.05794913,29.676636277,69.062821556,215.47351991
session_0846697406,user12,4,0.4043349945,33.37420953,3.5343184688,9.6408163268,0.4043349945,3.6702171348,10.616781764,51.657256023,15.028635033,36.277429584,166.21526516
session_0890611696,user12,5,0.7098422364,44.129457166,0.7691343163,4.6037229736,5.2022182285,0.7098422364,1.3756685349,71.034176381,21.204993085,61.877119985,193.46217264
session_0893120027,user12,3,0.4499156586,59.033068506,5.6991044156,0.4499156586,10.122021761,1.008269604,3.2317694126,86.393759387,32.841035083,67.178364063,220.77665778
session_0897855137,user12,6,0.1264995808,54.056801043,2.7431571075,5.091780101,10.427052366,2.2385022043,0.1264995808,84.302637593,28.343921089,74.364754551,213.26110317
session_0919508187,user12,3,2.0989812495,80.069401873,18.933879431,2.0989812495,21.036602203,8.079935756,14.218952619,104.97990816,51.107172689,73.328661025,253.04925391
session_1017063962,user12,4,0.8125575478,33.763619451,2.5317595445,7.6609985115,0.8125575478,2.4234814673,8.3793447647,53.905049713,15.101767286,41.914530043,168.00991658
session_1019062124,user12,5,0.2189141058,50.124123539,3.7725422838,1.644311009,5.4488484387,0.2189141058,4.0790130626,73.643060339,26.269177099,53.350493875,203.283087
session_1022551827,user12,6,0.6189563331,47.622820359,1.2994223792,7.6595463251,8.6268794761,2.8790705373,0.6189563331,77.774267761,23.53250387,72.651167783,200.72074845
session_1134724645,user12,2,1.4472205169,38.243790709,1.4472205169,6.3869773698,1.7995363649,1.5042126618,5.8079400633,61.013787444,17.433347281,48.19556967,179.87403778
session_1143731163,user12,5,0.0681839242,47.69895646,2.0236599911,2.5096495952,5.0340197204,0.0681839242,2.6078975074,73.332332589,24.076677907,57.69171622,199.68720392
session_1178629549,user12,5,0.1154789044,49.621796827,2.5367494905,2.1233503566,6.0564757108,0.1154789044,2.1320919767,75.324496431,25.533518986,59.200821244,203.41599317
session_1196335015,user12,4,1.3156240136,23.091353685,7.0181635584,19.568412463,1.3156240136,10.260729174,18.578713024,38.621237949,9.4901388709,32.363334135,138.76103952
session_1205304288,user12,2,0.9253101508,31.042732905,0.9253101508,14.903748975,4.3303134613,6.0434923264,6.2458164976,57.152347925,12.552160181,59.608804824,163.64039813
session_1239074582,user12,5,0.1211501392,47.599972793,2.2707081203,2.2637405107,5.4754029287,0.1211501392,2.5733763789,73.464413748,24.14546662,59.330385994,199.16734208
session_1288650341,user12,3,7.6194715197,101.44829821,32.080677026,7.6194715197,34.785072924,17.555974831,24.747777183,128.04305534,69.733308037,91.268329552,285.01710239
session_1358651464,user12,4,2.6708385606,26.699523404,9.7362175091,24.036450673,2.6708385606,13.259188918,21.659516358,38.757441495,12.722853725,23.010470192,143.11374155
session_1412721528,user12,3,0.368676204,57.486531914,5.630112808,0.368676204,9.220789348,0.8023477645,3.65237381,83.612426195,31.736993408,63.761478449,217.74305889
session_1456340454,user12,5,0.8954219552,54.169614743,3.4627383414,2.2483889097,8.973134821,0.8954219552,1.2436592016,81.91247219,28.620820053,67.923384711,213.36849374
session_1508041930,user12,6,0.5507917949,47.220589507,1.2597737966,7.6516646634,8.6666957237,2.8692045293,0.5507917949,77.570704797,23.411183194,72.873566066,199.25889125
session_1548161375,user12,6,0.1230213212,58.828309865,3.9464531447,4.564901689,12.722571752,2.7497067258,0.1230213212,90.7719657,31.953501171,80.413431355,222.28322577
session_1574713570,user12,6,0.1924065726,55.506180697,3.1535701555,6.6797745291,11.979409947,3.3962408029,0.1924065726,87.375096681,29.638647929,78.751840352,214.97040356
session_1591951224,user12,2,0.1119126494,38.135469024,0.1119126494,8.9709409216,4.1410947685,2.6055882607,2.9413290151,64.714530749,16.857046965,59.926801757,181.03662278
session_1593696549,user12,5,0.1722730393,51.018527822,2.6176270683,1.8993276184,6.6302571902,0.1722730393,1.9837988888,77.649732232,26.332903866,62.116676129,206.95184054
session_1656689994,user12,5,0.7944615778,39.026083637,1.104843785,5.1385927767,2.3345797118,0.7944615778,4.3775442877,62.647235461,18.041781397,51.053192798,181.45811546
session_1843905203,user12,5,1.9751022222,46.896459668,6.0839674243,4.0045765761,3.7515651332,1.9751022222,9.1978468285,65.526464184,24.934537631,39.652900385,193.29863204
session_1928096865,user12,6,0.1737959463,52.233259649,2.4463624349,4.4825342917,9.8791368716,1.8469596898,0.1737959463,82.61701778,27.168958348,74.732865788,209.31047306
session_1956761643,user12,6,0.1749445944,59.317374745,4.4890306631,6.3278834822,14.245284795,3.9940698323,0.1749445944,92.041553586,32.505049112,83.908979576,222.44350075
session_2062712102,user12,8,1.7977066653,6.9024393356,15.631603417,35.424503312,14.24207242,23.422951626,25.798906113,24.352128027,1.7977066653,63.423598114,93.379148374
session_2083592190,user12,3,0.442401209,70.737738599,10.45077563,0.442401209,16.353723536,3.5273716667,5.1858423744,99.733714247,42.059445741,77.960314296,241.89406237
session_2092403163,user12,5,1.3383381229,45.815606385,5.5190178415,2.7350550844,4.2408333994,1.3383381229,7.9117459372,65.920260944,23.927447269,45.731150715,192.36146517
session_2116060291,user12,2,2.1214719959,28.230073251,2.1214719959,18.55516696,4.1461653298,8.3287472661,9.4322887648,52.938181378,11.098531785,55.585782821,155.67352764
session_2177337196,user12,8,4.7108348426,10.977913529,16.872082834,27.249191949,8.247285224,18.590404932,28.107518313,18.650324959,4.7108348426,33.204127979,102.56660457
session_2217789924,user12,6,1.2598383998,63.835141498,6.6452860361,11.093219467,19.195458905,7.8580530062,1.2598383998,99.839573209,36.030758669,96.530457057,230.12849545
session_2237300884,user12,6,0.1461343311,58.434214607,4.2228465534,5.1193022362,13.227965927,3.1689342335,0.1461343311,90.23437526,31.748887666,81.29872042,221.31742633
session_2287816341,user12,5,0.4294782597,42.835686413,1.6389666564,4.2301580951,2.9964400846,0.4294782597,3.7779505829,65.844182356,20.762020112,49.331694406,189.11675973
session_2323064700,user12,6,0.4429789792,57.914350939,3.6738283798,3.0694554532,11.270322093,1.7442227092,0.4429789792,88.744998452,31.224295885,76.435691125,220.86186944
session_2487049182,user12,6,0.326102961,61.542188908,5.2915225818,6.4603419874,15.795925414,4.6034520234,0.326102961,95.287893492,34.149313271,88.416016329,226.87244669
session_2509775056,user12,6,1.2044897022,68.765342842,7.848664066,5.1455340674,18.713767062,5.213806686,1.2044897022,102.91786571,39.806961655,92.304244458,240.06235646
session_2555172883,user12,3,0.1866496412,58.1748895,6.9298248188,0.1866496412,9.6816183841,1.3075768365,5.2349080762,83.580633295,32.603701655,63.176715277,218.07979314
session_2614149384,user12,6,0.0971330678,58.202081649,3.9501199515,6.3268122284,13.361722209,3.6823919586,0.0971330678,90.547720094,31.514808046,81.946481157,220.78343136
session_2726751248,user12,3,1.0715797816,73.660275168,10.894188075,1.0715797816,18.251756544,4.2532696972,4.6425265522,104.38243293,44.082676331,83.777294091,247.93030022
session_2794743722,user12,3,0.4338383979,58.518462865,5.5493068845,0.4338383979,9.7067967354,0.8720877426,3.2554343379,85.440465403,32.417665109,65.736012418,219.92808201
session_2923450227,user12,6,0.6364255647,48.959753287,1.5231568625,4.229275099,7.6487913915,1.1459805765,0.6364255647,78.079104265,24.535909001,69.527012206,203.65803034
session_2937285388,user12,5,0.9980170768,50.143694153,5.5870194988,1.9376705322,5.2118321231,0.9980170768,6.881278081,71.302609412,26.906250668,47.709756251,201.33010645
