session,user,Cluster,Distance,Distance_Cluster_1,Distance_Cluster_2,Distance_Cluster_3,Distance_Cluster_4,Distance_Cluster_5,Distance_Cluster_6,Distance_Cluster_7,Distance_Cluster_8,Distance_Cluster_9,Distance_Cluster_10
session_0032069206,user12,1,0.8003911507,0.8003911507,433.60447554,134.96119605,14.352040396,54.870226913,157.06492932,482.35667927,181.44860848,63.899060468,209.37306614
session_0126772600,user12,1,0.6179009683,0.6179009683,432.56675532,107.05479913,10.922386949,51.561267212,152.35394529,454.86551617,185.53818744,60.347942927,212.96969096
session_0166199610,user12,1,1.0669145453,1.0669145453,390.94406117,113.83190612,12.637278872,38.957075994,128.70099399,459.02788331,194.2912919,47.902436548,207.87110839
session_0170625567,user12,1,1.0529185147,1.0529185147,416.70725581,105.87693163,13.37256219,46.171710915,145.5676298,458.32802226,163.20335809,58.334137751,188.17350833
session_0172860263,user12,1,1.2938354439,1.2938354439,423.32219514,112.1688847,13.802219341,49.154800253,150.97495732,459.40654614,154.37545652,61.100171515,181.95241403
session_0172989910,user12,1,1.180934692,1.180934692,433.04921772,136.17805816,13.962339675,55.061434105,155.56520534,489.8249904,195.50838152,62.682344943,221.6856423
session_0184498835,user12,1,0.4426200429,0.4426200429,430.54656272,111.34791154,12.072676516,51.278125448,151.48672034,458.46562696,190.75081058,60.669018901,217.34161282
session_0195566274,user12,1,0.8405422133,0.8405422133,428.31450822,113.85039993,13.180799068,50.774498061,153.34664549,460.73264409,160.03455176,62.01341827,188.6529881
session_0473936924,user12,1,1.3279123641,1.3279123641,430.40171722,135.18554662,13.534788791,53.940276367,156.44827885,488.21840461,163.93983098,62.473877818,191.89447172
session_0496948047,user12,1,0.3901429489,0.3901429489,430.63419995,113.53107347,12.303694694,51.495793948,151.79135008,461.20935531,190.94289754,60.912518174,217.55147019
session_0503653355,user12,1,1.84086158,1.84086158,400.8007162,102.8583607,8.0817132857,41.57038163,132.66476812,445.97580846,188.2854527,46.609140692,204.20685597
session_0545152840,user12,1,0.3559786086,0.3559786086,430.60128695,113.55813672,13.266782622,51.471240633,152.00103428,459.88172448,191.61937307,61.873483285,218.45720532
session_0610569527,user12,1,0.9160333434,0.9160333434,392.9212765,111.80075993,13.41031045,39.240018657,130.01829985,458.51020845,192.00781522,49.497759722,206.79616
session_0611188910,user12,1,0.4910097167,0.4910097167,433.18109364,113.84580861,13.647816963,52.422575131,153.38678713,461.37137987,194.64933528,62.95668744,222.07120972
session_0718520474,user12,1,0.9837970222,0.9837970222,434.82092298,135.52499128,14.334587985,55.542831509,156.89893578,482.05219486,192.98504471,63.804957843,220.1625063
session_0756345960,user12,1,0.3559786086,0.3559786086,430.60128695,113.55813672,13.266782622,51.471240633,152.00103428,459.88172448,191.61937307,61.873483285,218.45720532
session_0767152123,user12,1,1.096286555,1.096286555,421.39316425,135.4987441,14.567822637,51.109082244,148.856331,488.81788121,195.95252535,59.49655138,218.66973262
session_0831009063,user12,1,0.4043666096,0.4043666096,432.30432693,109.23669634,13.487099451,51.589083808,152.89335551,454.2471143,188.58995483,62.812256761,216.44301267
session_0840816364,user12,1,0.4900769915,0.4900769915,433.17991583,113.80761372,13.400756998,52.421554357,153.32671851,461.37852528,194.47344807,62.710523866,221.83917994
session_0846697406,user12,1,0.3243599547,0.3243599547,425.52999379,109.08527745,12.3559189,49.199824837,149.58365912,456.34073693,176.60976272,59.88555962,203.0945511
session_0890611696,user12,4,0.5023480735,11.823580041,443.55940714,114.76857811,0.5023480735,62.729522864,158.16014409,463.66178032,182.6190646,49.902870612,204.95238021
session_0893120027,user12,1,0.8255274303,0.8255274303,431.20737877,135.38926493,14.373176784,54.122528627,155.95343404,482.71322219,178.69577649,63.218932006,206.08416045
session_0897855137,user12,1,0.8148434763,0.8148434763,419.4084456,135.08701462,14.568430941,50.199205371,149.35055385,481.64613491,176.08548599,59.648014159,200.06363494
session_0919508187,user12,1,16.976856388,16.976856388,433.91224909,132.09084743,27.037373106,55.141963671,147.61910934,485.73184485,199.05307681,70.120190335,229.37692321
session_1017063962,user12,1,0.8714799863,0.8714799863,405.27711018,109.48325244,13.31037668,42.802693384,139.31664221,455.62682426,163.25521044,54.523494688,184.53863511
session_1019062124,user12,1,0.8745748391,0.8745748391,425.89629466,103.34484806,13.550927969,49.148891228,148.15044329,450.19139176,194.50357594,60.503726981,219.8521099
session_1022551827,user12,1,18.926168095,18.926168095,437.68362968,150.72684263,21.443355548,59.477646112,151.58202332,506.64506331,183.57928768,65.335166339,213.10184032
session_1134724645,user12,4,1.2126124788,12.068341546,430.85403217,142.15763283,1.2126124788,61.49699099,154.5467348,492.72250733,172.63176476,46.359839535,190.8377735
