session,user,Cluster,Distance,Distance Cluster 1,Distance Cluster 2,Distance Cluster 3,Distance Cluster 4,Distance Cluster 5,Distance Cluster 6,Distance Cluster 7,Distance Cluster 8,Distance Cluster 9,Distance Cluster 10
session_0032069206,user12,10,0.4012591824,4.7457818744,4.2739505455,15.227464646,24.660146509,31.391066301,203.17581295,188.04543935,3.6262924326,15.998952632,0.4012591824
session_0126772600,user12,1,0.5321309847,0.5321309847,13.054489845,32.337646999,27.693775934,33.99646087,222.53600606,201.53179359,4.4053294584,22.858890555,5.3457325629
session_0166199610,user12,3,31.754598543,125.36058094,72.237851418,31.754598543,131.59278938,157.40192651,284.61234584,290.98281506,105.64969559,107.44554652,83.748087982
session_0170625567,user12,10,2.4248146852,9.0531809253,3.6939165485,11.547056225,26.7342981,38.178578828,185.14086809,171.77755849,5.0969640716,17.158664581,2.4248146852
session_0172860263,user12,10,3.4555894186,9.1086517667,4.5747420107,12.848337547,23.982989009,36.888621588,177.69628316,164.11986736,5.0720265815,18.270127419,3.4555894186
session_0172989910,user12,1,2.0409390162,2.0409390162,21.344111074,39.896906605,35.466740661,47.308530422,247.1241102,220.53369588,9.5766655323,35.250868332,11.045029579
session_0184498835,user12,10,0.9966278903,8.0369400145,2.4146603399,14.52151233,24.082054337,28.007446525,203.87368974,195.23174617,3.6099318354,11.287034188,0.9966278903
session_0195566274,user12,8,3.6989974487,8.7545063586,7.8732246373,31.657113149,17.946950389,18.089333995,171.63791813,162.69772352,3.6989974487,8.4629605419,6.743037606
session_0473936924,user12,1,2.8225460154,2.8225460154,26.289905012,47.678746144,36.124282237,48.131949689,224.58406391,193.24874511,11.985181605,39.195190439,14.775314648
session_0496948047,user12,2,2.9125887077,17.90968395,2.9125887077,18.137436503,20.246437677,19.596645515,190.71260005,192.96278997,7.1043639595,5.7392658492,6.3824924376
session_0503653355,user12,2,2.8337376164,15.013074715,2.8337376164,20.700460361,21.61436595,23.118025652,189.4735429,189.82906119,4.3162072013,4.3824247675,6.1905121657
session_0545152840,user12,10,0.5779977865,9.3277674339,2.553649222,10.401270261,27.759426047,32.300329017,207.82812159,197.50099739,5.5788426058,14.058964867,0.5779977865
session_0610569527,user12,3,2.1539861855,39.333194562,9.3694371582,2.1539861855,43.49244195,51.17454426,207.13527936,210.14059707,25.753410735,25.268285748,15.435419361
session_0611188910,user12,10,3.036434274,4.4074904504,14.31298407,22.932652484,40.849761835,41.469014375,240.97337217,214.10593269,12.304343696,30.147620234,3.036434274
session_0718520474,user12,1,2.8173461416,2.8173461416,28.641611388,50.22341807,46.262651308,45.853512755,253.97252478,220.29133802,15.911343379,39.607552956,13.297734926
session_0756345960,user12,10,3.6455124963,9.3354115092,8.2852506781,23.187642194,29.734421576,24.83404229,211.77483168,198.86718569,8.4906259515,14.653376043,3.6455124963
session_0767152123,user12,10,3.2160307981,13.093554762,11.0782691,9.2574366022,47.623796937,50.74053545,236.22223645,213.6702181,16.699791614,30.759237832,3.2160307981
session_0831009063,user12,10,5.6942478795,12.893316708,6.7998698887,25.389606924,27.004812411,21.731991717,196.01004483,189.37363704,7.2394256521,8.1242069977,5.6942478795
session_0840816364,user12,1,1.9630533498,1.9630533498,11.658353907,24.104100243,34.336009792,37.586141862,234.0942432,210.2867404,7.6883526974,25.303573917,2.3416404096
session_0846697406,user12,2,1.8858111964,26.996473867,1.8858111964,13.596957871,16.942618368,23.024473394,169.88140979,179.44594723,9.7146654042,5.3447837867,10.761332857
session_0890611696,user12,8,5.4739556567,6.5272602002,11.464612057,35.880833416,25.553367887,22.482612713,206.32686381,193.85910165,5.4739556567,12.811800225,6.8767901023
