session,user,Cluster,Distance,Distance Cluster 1,Distance Cluster 2,Distance Cluster 3,Distance Cluster 4,Distance Cluster 5,Distance Cluster 6,Distance Cluster 7,Distance Cluster 8,Distance Cluster 9,Distance Cluster 10
session_0032069206,user12,8,1.0956246774,97.57646781,45.32100456,6.882452772,1.2710039422,8.689393022,154.10937918,16.046591865,1.0956246774,20.131183031,52.406308501
session_0126772600,user12,8,0.728129733,94.307644327,48.88063746,5.6638261984,3.2596998762,10.27021473,142.30891473,21.26067957,0.728129733,21.453109116,55.535464516
session_0166199610,user12,3,7.2450149674,84.552110692,31.289917131,7.2450149674,17.298088804,24.13253749,155.47714396,45.131761697,8.2405766546,40.371548432,68.620177287
session_0170625567,user12,8,0.4393936135,100.08939919,48.558542851,6.8904583993,2.2303066755,10.784788523,155.60751803,19.596512717,0.4393936135,21.904450611,57.476146477
session_0172860263,user12,8,1.1504554016,82.64402807,46.426652258,3.7388912789,4.3023634353,9.3634811083,146.59686144,22.836347021,1.1504554016,25.071074433,50.706751308
session_0172989910,user12,8,0.8191648332,101.25235198,52.483358228,7.0421842214,7.6015214668,17.796369668,158.36561864,32.243588606,0.8191648332,31.496369241,70.310628702
session_0184498835,user12,4,0.4939298547,101.28612975,48.063881326,9.0131947501,0.4939298547,7.546162672,158.71403779,12.374070205,2.2542375046,16.305727077,50.258700763
session_0195566274,user12,4,0.769218614,100.57663614,47.730294009,13.101156445,0.769218614,4.6669656442,152.27768479,4.9421176431,7.3135342575,13.542142879,40.625946411
session_0473936924,user12,8,1.0326223794,103.6892189,53.910090476,7.8616186015,7.9535684547,18.569331165,162.13770779,32.72812822,1.0326223794,31.825150145,72.058866835
session_0496948047,user12,7,2.9063799326,97.148534313,44.531046918,17.840630628,4.0703387948,5.2332651252,161.85880262,2.9063799326,13.97647545,13.671319209,32.836832313
session_0503653355,user12,4,3.0874727743,100.98488495,46.08603779,16.235561154,3.0874727743,6.3334583175,163.97912557,5.6306316208,11.144477874,7.736665411,37.394089914
session_0545152840,user12,4,0.6703917481,100.91383058,45.740102792,8.1230071445,0.6703917481,8.1938096227,158.24403056,13.859118198,1.5455816987,18.498356433,52.105442161
session_0610569527,user12,4,2.2187333275,110.90194967,50.694032896,14.075189182,2.2187333275,10.338947112,164.34321212,11.459552629,5.9826106804,17.925372847,52.467369275
session_0611188910,user12,8,0.6373346689,108.46173005,53.481232382,8.9325208889,3.7576276665,14.527211904,162.63401608,23.289394121,0.6373346689,25.695495232,65.686038704
session_0718520474,user12,8,0.5712900296,94.855824383,49.019060172,5.6144160658,5.1016997228,12.996670076,151.295253,25.997225845,0.5712900296,27.389264164,61.267298381
session_0756345960,user12,5,1.6039880367,72.810878898,39.038537095,7.8250500343,3.1958885471,1.6039880367,129.97218651,7.8721465805,8.8047701704,16.716272306,26.864068567
session_0767152123,user12,8,0.8479877051,104.9013461,50.84964095,8.0367630525,4.4708930997,14.925710577,160.468972,24.995213124,0.8479877051,26.147462509,64.848290725
session_0831009063,user12,4,2.8523789016,108.24017639,50.929380976,18.633000538,2.8523789016,7.0189520764,163.46846456,3.7840820196,11.970711688,13.548761329,40.990911601
session_0840816364,user12,8,0.6285657762,106.5658761,50.732819815,8.4650372273,3.0639848084,13.219521866,161.98830826,21.520734193,0.6285657762,24.032263822,62.904093231
session_0846697406,user12,4,3.2158888891,110.45029129,50.731526551,19.657693454,3.2158888891,7.691944416,166.60475858,3.6164184405,12.572733461,13.566702786,41.519050595
session_0890611696,user12,5,15.91030234,49.382543012,34.067301929,18.488717792,27.025257126,15.91030234,115.08244579,33.232343602,30.918269535,15.91079918,20.827292198
session_0893120027,user12,8,1.3538257711,102.8314138,49.023361785,8.2404119302,2.1845515643,11.056439217,156.70003293,18.303562774,1.3538257711,21.702857357,57.100255644
session_0897855137,user12,3,1.8241299555,74.266283986,35.240416735,1.8241299555,4.9220034214,8.2651269948,143.33077189,23.012208325,1.8607957708,25.850800178,45.966451189
