session,user,Cluster,Distance,Distance_Cluster_1,Distance_Cluster_2,Distance_Cluster_3,Distance_Cluster_4,Distance_Cluster_5,Distance_Cluster_6,Distance_Cluster_7,Distance_Cluster_8,Distance_Cluster_9,Distance_Cluster_10
session_0032069206,user12,10,0.1942871848,139.96498381,8.1681377979,919.47830612,239.38121524,552.20221159,1.332962343,60.235707678,496.34010707,137.21715446,0.1942871848
session_0126772600,user12,10,0.0386021166,142.36688359,9.5519497588,923.41490595,242.70059388,556.76637069,2.9971847887,61.996723426,501.21171448,139.96660768,0.0386021166
session_0166199610,user12,6,6.2107232002,150.10791168,17.266791851,922.74706498,247.13608291,559.6407413,6.2107232002,71.160233313,499.01815592,145.55687138,16.587347595
session_0170625567,user12,6,0.0417376891,140.38296211,8.0383023447,917.49840097,239.08936663,552.05982009,0.0417376891,60.744061128,495.09984587,137.05028729,1.92497128
session_0172860263,user12,6,0.12782357,140.78139894,8.1199216408,919.26953272,240.06296592,553.47396345,0.12782357,60.947184596,496.19281346,137.73284836,1.5348938727
session_0172989910,user12,10,0.0237730438,141.87834911,9.3394734388,922.6674131,242.05598459,555.82329244,2.8193048576,61.647692492,500.29810411,139.44460574,0.0237730438
session_0184498835,user12,6,0.4315288721,140.07426567,7.9515351828,919.26946627,239.54360809,552.55648721,0.4315288721,60.373429233,495.60768092,137.27469903,0.8743608243
session_0195566274,user12,10,0.0163448538,141.62308375,9.0635912331,922.27539817,241.74747234,555.49352396,2.3860518566,61.428554331,499.74608557,139.14821726,0.0163448538
session_0473936924,user12,10,0.4237898474,137.43019908,9.5916255548,921.77939369,238.11176333,547.71484719,4.7900231919,59.092208502,491.77880439,136.41405338,0.4237898474
session_0496948047,user12,6,0.6181366402,140.41966286,8.0413108066,919.3793325,239.84670767,553.11909379,0.6181366402,60.563726585,496.55099866,137.53788795,0.6482090863
session_0503653355,user12,6,0.1409051199,140.37912796,8.0139175215,918.71713281,239.55138204,552.66984312,0.1409051199,60.6689986,495.51447262,137.33270311,1.4813768021
session_0545152840,user12,10,0.5766712256,140.81399804,8.1718677218,920.28473662,240.48641618,554.06273223,0.6983176649,60.824066415,497.34536551,138.02335804,0.5766712256
session_0610569527,user12,6,0.1213953892,140.72939286,8.6543290903,917.42855347,239.19159279,551.74399825,0.1213953892,61.389488556,493.86545205,137.29429495,3.7129140641
session_0611188910,user12,10,0.4882336453,143.49209438,11.022182421,925.45409929,244.11577923,558.03775,5.1521339822,63.090730465,503.23206496,141.36418742,0.4882336453
session_0718520474,user12,10,2.1251874719,146.9087871,14.306073089,930.55343139,248.20499675,562.55296354,9.2030524675,66.188312402,508.59862331,145.18352356,2.1251874719
session_0756345960,user12,10,0.285608777,141.79947552,10.181259646,922.85502405,241.81968481,554.80149177,4.4281230138,61.827760972,500.22426673,139.49019467,0.285608777
