,Prin1,Prin2,Prin3,Prin4,Prin5,Prin6,Prin7,Prin8,Prin9,Prin10,Prin11,Prin12,Prin13,Prin14,Prin15,Prin16,Prin17,Prin18,Prin19,Prin20,Prin21,Prin22,Prin23,Prin24,Prin25,Prin26,Prin27,Prin28,Prin29,Prin30,Prin31,Prin32,Prin33,Prin34,Prin35
velocity-mean,0.21832,-0.05719,0.21138,-0.02124,-0.08875,-0.25922,0.01356,-0.01962,-0.01338,0.01763,-0.00885,-0.06618,0.14724,0.21088,0.05747,0.02981,0.02994,0.10395,-0.01318,-0.01924,-0.10155,0.00384,0.03213,-0.01059,0.23151,-0.04232,0.03508,0.02278,0.07696,-0.02674,-0.0685,-0.67638,-0.40953,-0.17262,-0.07625
velocity-median,0.0717,0.2989,0.07911,-0.03153,0.08648,0.06719,0.01091,-0.02015,-0.16995,-0.06404,-0.02601,-0.06564,0.02014,0.0422,0.05305,-0.18991,-0.33579,0.00521,0.02316,-0.23038,-0.07547,-0.7149,0.23213,0.06849,-0.08691,-0.18448,0.13709,-0.06629,-0.00671,0.01184,0.00049,0.00299,0.00148,0.00062,0.00034
velocity-mode,0.02562,0.01076,0.14382,-0.07452,0.40602,-0.05546,-0.04117,0.02685,0.22111,0.07969,-0.02764,0.84022,0.04419,0.16808,0.01694,-0.08031,-0.04397,0.02262,-0.01195,-0.0164,-0.00771,-0.00305,-0.00944,0.02167,-0.0011,-0.01586,0.00195,-0.00118,-0.0005,-0.00016,0.00029,-4E-05,0.0001,-0.00012,-3E-05
velocity-iqr,0.07992,0.20597,0.20204,-0.12332,0.35331,0.01487,-0.11391,-0.06265,-0.14813,0.05932,-0.06807,-0.11105,0.00303,-0.1068,-0.11652,0.21199,0.19793,-0.04394,0.00935,0.11648,0.06163,-0.01918,0.23654,-0.71034,-0.01235,0.13816,0.04045,0.02142,-0.00079,-0.00285,-0.00053,0.00502,0.00315,0.00163,0.00078
velocity-stdev,0.24184,-0.08648,0.13718,-0.02396,-0.08506,-0.01966,0.01554,-0.00118,0.01126,-0.00447,0.00164,-0.00742,0.04311,0.0709,0.02444,0.00238,-0.01184,-0.05781,0.00065,0.03398,0.27308,-0.08088,-0.18784,-0.03875,-0.30533,0.03466,-0.06469,-0.04502,-0.09479,0.0146,-0.00669,-0.11071,-0.02155,0.13119,0.79795
velocity-min,-0.00461,0.04222,0.1583,0.52774,0.03351,0.07776,-0.0814,-0.12063,0.07587,-0.04403,-0.18647,-0.0222,-0.13257,0.05203,0.00703,0.08957,-0.04917,-0.00562,-0.76949,0.01241,-0.00658,-0.01055,-0.00462,0.00253,-0.00412,-0.0021,-0.00253,0.0049,-0.00201,0.00118,0.00048,0.00013,3E-05,-0.00022,-2E-05
velocity-max,0.24192,-0.08538,-0.00256,-0.01645,-0.02319,0.26705,-0.00037,0.00997,-0.00079,-0.01249,0.02106,0.03216,-0.01008,-0.0255,-0.01426,0.01106,0.01111,-0.07354,0.00148,-0.0143,-0.1038,0.03275,0.06999,0.01778,0.05205,-0.00281,0.01172,0.00897,0.01671,0.00262,-0.02367,-0.0448,-0.13525,0.54979,-0.10048
velocity-range,0.24192,-0.08538,-0.00256,-0.01645,-0.02319,0.26705,-0.00037,0.00997,-0.00079,-0.01249,0.02106,0.03216,-0.01008,-0.0255,-0.01426,0.01106,0.01111,-0.07354,0.00148,-0.0143,-0.1038,0.03275,0.06999,0.01778,0.05205,-0.00281,0.01172,0.00897,0.01671,0.00262,-0.02367,-0.0448,-0.13525,0.54979,-0.10048
xvelocity-mean,0.21809,-0.05785,0.21222,-0.02183,-0.08636,-0.25918,0.01036,-0.01748,-0.01285,0.01619,-0.00823,-0.06889,0.15594,0.21033,0.03802,0.02497,0.02377,0.10461,-0.01572,-0.0034,-0.10587,0.00682,0.03251,0.00641,0.21646,-0.04601,0.043,-0.00127,0.00867,-0.64248,-0.2441,0.31303,0.3093,0.10274,0.03282
xvelocity-median,0.06937,0.28978,0.06702,-0.02543,0.0565,0.05374,-0.02169,0.03183,-0.15687,-0.13341,0.01046,-0.0601,0.1518,0.04862,-0.19034,-0.29898,-0.43576,-0.00747,-0.03746,-0.42124,0.08661,0.52873,-0.15566,-0.1391,0.02036,0.00771,-0.03215,0.00733,0.01909,-0.0026,0.00012,-0.00035,-0.00113,-0.00036,8E-05
xvelocity-mode,0.02155,0.05429,0.08513,-0.01413,0.27633,-0.00391,-0.07193,0.46312,0.50191,-0.52876,0.26052,-0.25053,-0.05851,0.0604,0.14545,0.02483,0.0404,0.00256,-0.00292,-0.00604,-0.00752,-0.01145,0.00993,0.00382,-0.00124,-0.00627,-0.00975,0.00169,-0.00168,5E-05,-6E-05,-0.00015,0.00015,0,-4E-05
xvelocity-iqr,0.07503,0.2084,0.18882,-0.11521,0.31218,0.01826,-0.1655,-0.00612,-0.16148,-0.0142,-0.03497,-0.14307,0.18234,-0.08278,-0.43377,0.1199,-0.01002,0.00163,-0.01412,0.39605,-0.111,-0.00544,-0.23184,0.49981,0.0007,0.09646,0.04678,-0.00976,-0.01277,0.03411,0.01372,-0.00061,-0.00433,-0.00119,-0.00022
xvelocity-stdev,0.24185,-0.08657,0.13708,-0.02396,-0.08487,-0.01923,0.01526,-0.00093,0.0118,-0.00431,0.00157,-0.00779,0.04316,0.07023,0.02273,0.00128,-0.01267,-0.05744,0.00064,0.03538,0.27305,-0.08079,-0.18323,-0.03735,-0.3089,0.03317,-0.06201,-0.04758,-0.10973,-0.20214,0.27294,0.36759,-0.51727,-0.14884,-0.35167
xvelocity-min,-0.00723,0.02998,0.1443,0.5134,0.00454,0.06075,-0.0792,-0.07848,0.07183,-0.00312,-0.0826,-0.03481,-0.39765,0.36661,-0.32592,0.0376,0.01776,0.00679,0.53138,-0.0472,0.0062,0.00053,-0.00025,-0.00587,0.00641,0.00372,0.00685,-0.00074,0.00196,0.00031,-0.00047,9E-05,1E-05,0.00012,-1E-05
xvelocity-max,0.24185,-0.08546,-0.0029,-0.01635,-0.02322,0.26747,-0.00057,0.01007,-0.00056,-0.01226,0.02095,0.03186,-0.01025,-0.02592,-0.01483,0.01064,0.01062,-0.07345,0.00181,-0.01508,-0.10559,0.03243,0.07322,0.01816,0.05269,-0.0032,0.01395,0.01048,0.01376,-0.14789,0.42953,-0.12526,0.23556,-0.23099,0.035
xvelocity-range,0.24185,-0.08546,-0.0029,-0.01635,-0.02322,0.26747,-0.00057,0.01007,-0.00056,-0.01226,0.02095,0.03186,-0.01025,-0.02592,-0.01483,0.01064,0.01062,-0.07345,0.00181,-0.01508,-0.10559,0.03243,0.07322,0.01816,0.05269,-0.0032,0.01395,0.01048,0.01376,-0.14789,0.42953,-0.12526,0.23556,-0.23099,0.035
yvelocity-mean,0.21787,-0.06,0.20831,-0.019,-0.09587,-0.26037,0.01933,-0.02108,-0.01144,0.01863,-0.00875,-0.06207,0.13766,0.21296,0.08117,0.03172,0.03331,0.10407,-0.01018,-0.03697,-0.0963,0.00757,0.02548,-0.01347,0.24757,-0.02323,0.03279,0.06901,0.1255,0.63384,0.3023,0.36632,0.09961,0.07027,0.0436
yvelocity-median,0.0634,0.28089,0.02465,-0.0021,-0.01113,0.0696,0.17816,-0.07649,-0.12001,-0.05097,-0.02802,0.00588,-0.24861,0.14747,0.49445,-0.12044,-0.30035,0.02085,0.08732,0.59157,-0.14947,0.17072,-0.07696,-0.07789,-0.02056,0.00607,-0.03467,0.00849,0.00929,-0.00494,-3E-05,-0.00108,0.00033,0.00016,-0.00016
yvelocity-mode,0.00644,0.06944,0.05465,-0.00384,0.16236,0.05451,0.74148,-0.38584,0.41212,0.09829,0.09189,-0.14944,0.11692,-0.05009,-0.18498,-0.05408,0.00563,0.01048,-0.00779,-0.00396,-0.00547,-0.00992,0.00942,-0.00538,-0.00128,-0.00697,-0.00489,-0.00011,0.00013,0.00335,0.00097,-0.00015,-0.00013,2E-05,1E-05
yvelocity-iqr,0.07856,0.22594,0.15651,-0.09194,0.24464,0.02158,0.0679,-0.13942,-0.13015,0.08946,-0.09693,-0.07543,-0.28685,-0.09169,0.43811,0.26786,0.28518,-0.05045,0.06887,-0.44087,0.088,0.10937,-0.16159,0.30869,0.03896,0.05356,0.04185,-0.0101,-0.005,-0.02524,-0.0086,-0.00178,0.00105,-0.00034,-0.00039
yvelocity-stdev,0.24183,-0.08635,0.13718,-0.02397,-0.08547,-0.02002,0.01588,-0.00147,0.01075,-0.00467,0.00175,-0.00708,0.04317,0.0716,0.02618,0.00324,-0.01111,-0.05798,0.00082,0.03265,0.274,-0.08068,-0.19125,-0.04081,-0.30171,0.03625,-0.06694,-0.04251,-0.08124,0.2216,-0.24631,-0.26206,0.53934,0.01813,-0.44672
