feature,Prin1,Prin2,Prin3,Prin4,Prin5,Prin6,Prin7,Prin8,Prin9,Prin10,Prin11,Prin12,Prin13,Prin14,Prin15,Prin16,Prin17,Prin18,Prin19,Prin20,Prin21,Prin22,Prin23,Prin24,Prin25,Prin26,Prin27,Prin28,Prin29,Prin30,Prin31,Prin32,Prin33,Prin34,Prin35,Prin36,Prin37,Prin38,Prin39,Prin40,Prin41
velocity-mean,0.21764,-0.05882,-0.11802,0.14554,0.11941,-0.0374,-0.05434,0.24449,-0.08642,-0.01517,0.01708,-0.0089,-0.00577,-0.00689,0.04602,-0.08151,0.14405,0.21255,-0.01541,0.1031,-0.0269,-0.01382,-0.00526,-0.01339,-0.08583,0.05611,0.01685,-0.02914,-0.02504,-0.00705,0.23232,-0.02719,0.03423,0.02433,0.07678,-0.02314,-0.0688,-0.65386,-0.43318,-0.19759,-0.08157
velocity-median,0.07465,0.29113,-0.08907,-0.01838,0.04357,0.07348,0.06179,-0.07084,-0.06137,-0.01048,-0.08544,0.10314,0.00099,-0.03011,-0.00138,-0.1082,0.02903,0.01952,0.14511,0.01999,0.4485,-0.07667,-0.18536,-0.0941,-0.1189,-0.06174,-0.41061,-0.51096,0.14016,-0.22653,-0.07971,-0.1806,0.12397,-0.0703,-0.00412,0.00354,-0.00048,0.00173,0.00075,0.00027,0.00019
velocity-mode,0.02633,0.00937,-0.20185,-0.04125,-0.04789,0.12288,0.25259,0.18819,0.4351,0.04396,-0.0041,-0.0794,0.15029,-0.19219,-0.5685,0.44787,0.08687,0.19719,0.09252,0.01867,0.04393,-0.0089,0.00638,-0.02989,0.00353,0.01744,-0.00574,0.00518,0.01518,0.00951,0.00044,-0.01739,0.00428,-0.00109,-0.00099,-0.00095,6E-05,-8E-05,0.00012,-0.0001,-3E-05
velocity-iqr,0.0823,0.19416,-0.27577,-0.08515,0.05489,0.20702,0.17844,0.02266,0.05364,-0.06206,-0.07142,0.01719,0.06632,-0.14486,0.04281,-0.21143,-0.07476,-0.10206,-0.18992,-0.04312,-0.15878,0.07534,0.18022,0.11854,-0.0205,-0.14375,0.11804,-0.06483,-0.55195,-0.45772,-0.05045,0.14057,0.05004,0.01844,-0.00034,-0.00653,-0.00146,0.00403,0.00284,0.00152,0.00073
velocity-stdev,0.24077,-0.08783,-0.06503,0.10451,0.09269,-0.04667,-0.03461,0.01767,-0.00467,0.00064,0.01043,0.0021,-0.00852,0.00685,0.00505,-0.01418,0.04622,0.07035,-0.00171,-0.05764,0.01501,-0.00409,-0.00789,0.03248,0.22403,-0.16374,-0.15543,0.13743,0.01134,-0.01469,-0.3033,0.01715,-0.06359,-0.04602,-0.09421,0.01439,-0.00613,-0.11433,-0.03558,0.12583,0.79781
velocity-min,-0.0038,0.04888,-0.02017,0.35773,-0.25737,0.31021,-0.12211,-0.08422,-0.0088,-0.11979,-0.00305,-0.07912,-0.19469,-0.02832,-0.04503,0.02754,-0.10745,0.04823,-0.08984,-0.01113,-0.05609,-0.75395,0.15469,0.03726,-0.0383,-0.03927,-0.00161,0.0104,0.02027,-0.00111,-0.00019,0.00194,-0.0047,0.00499,-0.00163,0.00161,0.00058,0.00031,0.00014,-0.00019,-1E-05
velocity-max,0.24071,-0.08763,0.0128,0.00429,0.01824,-0.01815,0.00413,-0.25433,0.08191,0.00878,-0.00287,0.02778,0.01796,0.0014,-0.02457,0.0116,-0.01515,-0.02396,-0.01148,-0.07359,-0.01007,0.00453,0.00261,-0.01449,-0.08512,0.062,0.0602,-0.04941,0.00229,0.00635,0.05103,-0.00018,0.01127,0.00909,0.01665,0.00289,-0.02445,-0.04713,-0.15473,0.54452,-0.09976
velocity-range,0.24071,-0.08763,0.0128,0.00429,0.01824,-0.01815,0.00413,-0.25433,0.08191,0.00878,-0.00287,0.02778,0.01796,0.0014,-0.02457,0.0116,-0.01515,-0.02396,-0.01148,-0.07359,-0.01007,0.00453,0.00261,-0.01449,-0.08512,0.062,0.0602,-0.04941,0.00229,0.00635,0.05103,-0.00018,0.01127,0.00909,0.01665,0.00289,-0.02445,-0.04713,-0.15473,0.54452,-0.09976
xvelocity-mean,0.21741,-0.0596,-0.12302,0.14222,0.11609,-0.03852,-0.05964,0.24393,-0.08528,-0.01495,0.01895,-0.00632,-0.0075,-0.00706,0.04669,-0.08335,0.14171,0.21407,-0.01241,0.10418,-0.01905,-0.01287,0.00499,0.002,-0.0838,0.06559,0.02103,-0.03245,-0.01804,0.01242,0.21751,-0.02881,0.03766,0.00473,0.01153,-0.63641,-0.26117,0.29344,0.32208,0.11755,0.03606
xvelocity-median,0.07269,0.28475,-0.11943,-0.03269,-0.02232,-0.02639,-0.01603,-0.07498,-0.06874,-0.00352,-0.09845,0.12916,-0.01794,0.01138,-0.03444,-0.10651,0.01782,0.04209,0.20616,0.01415,0.47923,-0.0546,0.10474,-0.46052,0.02714,-0.0573,0.34678,0.43413,-0.14713,0.10509,0.02559,-0.00117,-0.01471,0.00996,0.01527,-0.00172,-0.00068,0.0006,-4E-05,2E-05,0.00025
xvelocity-mode,0.02265,0.05441,-0.14843,-0.02639,-0.10295,0.02437,0.11577,0.09631,0.46465,0.28571,-0.34759,-0.05837,-0.254,0.58239,0.32386,0.02812,0.04898,0.0543,-0.00494,0.00048,-0.03098,-0.01754,-0.0415,-0.00255,0.00187,0.01279,1E-05,-0.01015,-0.0026,0.00424,-0.00158,-0.00739,-0.00895,0.00185,-0.00193,0.00038,4E-05,-0.00015,0.00015,2E-05,-3E-05
xvelocity-iqr,0.07759,0.19663,-0.30998,-0.11425,0.0024,0.13876,0.0603,-0.00594,0.03214,-0.05663,-0.09087,0.07035,0.0419,-0.12575,0.06919,-0.18512,-0.07025,-0.03863,-0.13767,0.01028,0.08164,0.13749,0.50868,0.29902,-0.01914,0.1916,-0.15481,0.09314,0.38577,0.35164,0.0094,0.06669,0.04308,-0.01125,-0.01399,0.02925,0.01324,0.00023,-0.0036,-0.0011,-0.00013
xvelocity-stdev,0.24078,-0.08794,-0.06529,0.10411,0.09243,-0.04657,-0.03519,0.01728,-0.00416,0.00081,0.01096,0.00205,-0.00886,0.00691,0.00516,-0.01443,0.04537,0.06979,-0.00081,-0.05721,0.01644,-0.0042,-0.00825,0.03472,0.22418,-0.16374,-0.15165,0.13439,0.01106,-0.01178,-0.3068,0.01594,-0.06178,-0.04724,-0.10876,-0.21251,0.26375,0.39471,-0.49335,-0.1579,-0.35381
