test_num,os,branch_name,time_real,time_user,time_sys
1,win,python_writing_to_list_buffer_as_features_are_calculated,11m17.117s,0m7.834s,0m24.106s
2,win,python_writing_to_list_buffer_as_features_are_calculated,11m15.635s,0m7.831s,0m22.937s
3,win,python_writing_to_list_buffer_as_features_are_calculated,11m16.084s,0m8.099s,0m23.164s
1,lin,python_writing_to_list_buffer_as_features_are_calculated,3m17.180s,3m5.594s,0m11.653s
2,lin,python_writing_to_list_buffer_as_features_are_calculated,3m17.032s,3m5.867s,0m11.202s
3,lin,python_writing_to_list_buffer_as_features_are_calculated,3m16.900s,3m5.782s,0m11.186s
1,win,python_writing_to_output_file_as_features_are_calculated,11m24.457s,0m7.742s,0m23.316s
2,win,python_writing_to_output_file_as_features_are_calculated,11m24.892s,0m8.260s,0m23.037s
3,win,python_writing_to_output_file_as_features_are_calculated,10m55.050s,0m11.846s,0m30.331s
1,lin,python_writing_to_output_file_as_features_are_calculated,3m19.695s,3m8.244s,0m11.499s
2,lin,python_writing_to_output_file_as_features_are_calculated,3m19.933s,3m8.780s,0m11.234s
3,lin,python_writing_to_output_file_as_features_are_calculated,3m18.089s,3m6.806s,0m11.353s
1,win,python_writing_to_preallocated_list_buffer_as_features_are_calculated,10m50.965s,0m12.030s,0m30.933s
2,win,python_writing_to_preallocated_list_buffer_as_features_are_calculated,10m51.996s,0m12.466s,0m29.309s
3,win,python_writing_to_preallocated_list_buffer_as_features_are_calculated,10m52.116s,0m12.020s,0m29.042s
1,lin,python_writing_to_preallocated_list_buffer_as_features_are_calculated,3m31.223s,3m19.848s,0m11.436s
2,lin,python_writing_to_preallocated_list_buffer_as_features_are_calculated,3m31.935s,3m20.616s,0m11.405s
3,lin,python_writing_to_preallocated_list_buffer_as_features_are_calculated,3m31.547s,3m20.271s,0m11.334s
1,win,golang_parallelized_writing_to_output_file_as_features_are_calculated,1m41.119s,0m0.951s,0m4.323s
2,win,golang_parallelized_writing_to_output_file_as_features_are_calculated,1m41.817s,0m1.103s,0m4.486s
3,win,golang_parallelized_writing_to_output_file_as_features_are_calculated,1m42.023s,0m1.160s,0m4.485s
1,lin,golang_parallelized_writing_to_output_file_as_features_are_calculated,1m6.121s,1m54.027s,3m27.575s
2,lin,golang_parallelized_writing_to_output_file_as_features_are_calculated,1m1.913s,1m46.817s,3m16.633s
3,lin,golang_parallelized_writing_to_output_file_as_features_are_calculated,1m13.644s,2m6.038s,3m49.615s
1,win,golang_parallelized_writing_to_preallocated_slice_buffer_as_features_are_calculated,2m27.184s,0m2.605s,0m6.947s
2,win,golang_parallelized_writing_to_preallocated_slice_buffer_as_features_are_calculated,2m26.534s,0m2.543s,0m7.503s
3,win,golang_parallelized_writing_to_preallocated_slice_buffer_as_features_are_calculated,2m25.891s,0m2.466s,0m7.807s
1,lin,golang_parallelized_writing_to_preallocated_slice_buffer_as_features_are_calculated,0m35.666s,1m2.019s,0m9.503s
2,lin,golang_parallelized_writing_to_preallocated_slice_buffer_as_features_are_calculated,0m36.346s,1m3.615s,0m9.532s
3,lin,golang_parallelized_writing_to_preallocated_slice_buffer_as_features_are_calculated,0m36.180s,1m1.932s,0m10.015s
1,win,golang_parallelized_writing_to_slice_buffer_as_features_are_calculated,1m41.715s,0m1.118s,0m4.454s
2,win,golang_parallelized_writing_to_slice_buffer_as_features_are_calculated,1m41.923s,0m1.348s,0m4.397s
3,win,golang_parallelized_writing_to_slice_buffer_as_features_are_calculated,1m42.417s,0m1.393s,0m5.133s
1,lin,golang_parallelized_writing_to_slice_buffer_as_features_are_calculated,1m6.640s,1m54.564s,3m26.896s
2,lin,golang_parallelized_writing_to_slice_buffer_as_features_are_calculated,1m5.783s,1m52.285s,3m24.000s
3,lin,golang_parallelized_writing_to_slice_buffer_as_features_are_calculated,1m5.046s,1m52.407s,3m21.619s
