mean,session_0032069206,user12,442.095,340.853,225.079,1409.59,1390.69,0.659746
median,session_0032069206,user12,81.0474,32.0856,40,262.617,308.89,0.565854
mode,session_0032069206,user12,110,9.2,55,130,1100,1.6
iqr,session_0032069206,user12,344.562,248.217,153.594,1155.24,1260.21,1.09734
stdev,session_0032069206,user12,1625.3,1233.37,1071.93,5726.77,4711.2,0.570896
min,session_0032069206,user12,0.076406,0.076406,0.096246,0.010682,0.039005,0.003788
max,session_0032069206,user12,48085.3,34312.5,33687.5,145651,123453,1.5708
range,session_0032069206,user12,48085.2,34312.4,33687.4,145651,123453,1.56701
mean,session_0126772600,user12,273.144,182.996,161.194,830.456,1062.8,0.742566
median,session_0126772600,user12,68.2304,24.1935,32.0256,310.978,443.082,0.785398
mode,session_0126772600,user12,220,8,32,1400,1100,1.6
iqr,session_0126772600,user12,295.484,158.217,177.802,836.704,1125.97,1.19283
stdev,session_0126772600,user12,511.845,422.59,313.926,1462.1,1720.28,0.58733
min,session_0126772600,user12,0.059189,0.222568,0.057594,0.003491,0.107053,0.004405
max,session_0126772600,user12,5753.39,5467.74,2872.73,14720.1,14302.6,1.5708
range,session_0126772600,user12,5753.33,5467.52,2872.67,14720,14302.5,1.56639
mean,session_0166199610,user12,246.219,204.504,82.5595,700.632,904.79,0.269918
median,session_0166199610,user12,0.915751,0,0,7.15395,55.2724,0
mode,session_0166199610,user12,170,180,9.2,1100,1500,1.6
iqr,session_0166199610,user12,235.804,147.862,53.3345,671.358,762.181,0.321751
stdev,session_0166199610,user12,565.708,537.807,206.875,1761.07,2439.4,0.466886
min,session_0166199610,user12,0.107377,0.107377,0.622278,0.03733,0.005998,0.003356
max,session_0166199610,user12,6340.46,6340.43,1616,19037,25084.9,1.5708
range,session_0166199610,user12,6340.35,6340.32,1615.38,19036.9,25084.9,1.56744
mean,session_0170625567,user12,349.749,226.338,217.82,946.992,1037.97,0.640554
median,session_0170625567,user12,66.0302,33.6752,27.2727,199.3,200.584,0.588003
mode,session_0170625567,user12,130,64,110,1500,130,1.6
iqr,session_0170625567,user12,339.388,198.607,150.922,792.955,736.923,1.04058
stdev,session_0170625567,user12,1047.78,516.96,924.262,4307.68,6175.41,0.543589
min,session_0170625567,user12,0.061166,0.074799,0.061166,0.039681,0.009979,0.011299
max,session_0170625567,user12,28001.6,6422.02,27733.3,133900,197216,1.5708
range,session_0170625567,user12,28001.5,6421.94,27733.3,133900,197216,1.5595
mean,session_0172860263,user12,332.522,221.197,198.828,904.485,908.982,0.657688
median,session_0172860263,user12,73.2933,32.0513,31.9149,280.856,324.281,0.602287
mode,session_0172860263,user12,130,37,140,1200,1000,1.6
iqr,session_0172860263,user12,284.768,157.105,153.458,836.458,927.208,1.00748
stdev,session_0172860263,user12,705.104,524.973,493.68,1634.31,1548,0.547903
min,session_0172860263,user12,0.307575,0.137552,0.082284,0.066815,0.208565,0.003534
max,session_0172860263,user12,5897.2,5045.87,4981.65,16366.9,13314.5,1.5708
range,session_0172860263,user12,5896.89,5045.73,4981.57,16366.8,13314.3,1.56726
mean,session_0172989910,user12,304.546,187.728,186.116,885.748,1028.9,0.830702
median,session_0172989910,user12,46.78,15.7777,27.3978,160.486,198.026,0.826037
mode,session_0172989910,user12,140,18,9.2,110,110,1.6
iqr,session_0172989910,user12,214.441,106.103,125.459,660.842,718.724,1.17317
stdev,session_0172989910,user12,821.955,676.163,491.235,2368.82,2874.78,0.585857
min,session_0172989910,user12,0.070437,0.070437,0.084789,0.004881,0.020989,0.014183
max,session_0172989910,user12,8061.44,8056,6596.33,24577.5,29178.6,1.5708
range,session_0172989910,user12,8061.37,8055.93,6596.25,24577.5,29178.6,1.55661
mean,session_0184498835,user12,423.268,295.175,237.978,1176.44,1377.86,0.63107
median,session_0184498835,user12,89.7436,42.8571,36.6972,365.792,463.333,0.548549
mode,session_0184498835,user12,170,18,18,1200,1200,1.6
iqr,session_0184498835,user12,398.761,230.994,199.318,1252.41,1479.71,1.11388
stdev,session_0184498835,user12,1369.99,1229.6,632.737,2322.46,2404.75,0.556618
min,session_0184498835,user12,0.06806,0.048126,0.048126,0.02255,0.00509,0.003367
max,session_0184498835,user12,43720.4,40687.5,16000,40036.8,20744.4,1.5708
range,session_0184498835,user12,43720.3,40687.5,16000,40036.8,20744.3,1.56743
mean,session_0195566274,user12,424.915,306.348,216.799,1043.85,1109.33,0.68721
median,session_0195566274,user12,138.298,48,54.5455,370.061,323.591,0.643501
mode,session_0195566274,user12,140,18,120,1100,1100,1.6
iqr,session_0195566274,user12,490.238,280.839,233.8,1040.77,957.479,1.19836
stdev,session_0195566274,user12,807.573,709.029,434.991,2091.48,2373.67,0.582012
min,session_0195566274,user12,0.052458,0.140885,0.052458,0.026171,0.00918,0.011235
max,session_0195566274,user12,8975.2,7871.56,4559.63,27880.1,34894.6,1.5708
range,session_0195566274,user12,8975.14,7871.42,4559.58,27880.1,34894.6,1.55956
mean,session_0473936924,user12,405.766,271.706,268.655,666.512,617.451,0.844726
median,session_0473936924,user12,57.9441,16,30.303,140.855,130.509,0.870903
mode,session_0473936924,user12,160,18,110,150,110,1.6
iqr,session_0473936924,user12,194.283,96.7742,124.281,446.458,401.26,1.21006
stdev,session_0473936924,user12,6309.35,4468.49,4456.36,6078.7,4143.72,0.600118
min,session_0473936924,user12,0.068852,0.034297,0.068594,0.004559,0.001535,0.01156
max,session_0473936924,user12,179405,126986,126730,171668,115420,1.5708
range,session_0473936924,user12,179405,126986,126730,171668,115420,1.55924
mean,session_0496948047,user12,483.921,362.346,234.365,1290.11,1581.95,0.617997
median,session_0496948047,user12,180.247,91.7431,46.5116,429.749,483.583,0.484478
mode,session_0496948047,user12,160,18,18,1100,1100,1.6
iqr,session_0496948047,user12,530.472,385.405,205.662,1189.75,1341.24,1.046
stdev,session_0496948047,user12,1006.15,819.004,624.145,2861.67,3560.86,0.560337
min,session_0496948047,user12,0.207666,0.040727,0.13816,0.034337,0.207908,0.004255
max,session_0496948047,user12,15909.6,12408.6,9956.99,45502.3,55941.5,1.5708
range,session_0496948047,user12,15909.4,12408.6,9956.85,45502.2,55941.3,1.56654
mean,session_0503653355,user12,542.018,376.489,306.654,1516.91,1780.66,0.64356
median,session_0503653355,user12,110.856,55.0459,36.0643,431.867,504.643,0.600733
mode,session_0503653355,user12,380,140,18,1600,2000,1.6
iqr,session_0503653355,user12,581.877,316.447,244.366,1606.17,2090.76,1.06498
stdev,session_0503653355,user12,1029.07,816.848,670.806,2564.33,2905.77,0.548504
min,session_0503653355,user12,0.128381,0.040598,0.121793,0.078284,0.037794,0.008403
max,session_0503653355,user12,6552.68,5760,4509.09,15591.3,16216.6,1.5708
range,session_0503653355,user12,6552.55,5759.96,4508.97,15591.2,16216.6,1.56239
mean,session_0545152840,user12,324.071,225.968,179.242,795.57,832.387,0.626713
median,session_0545152840,user12,90.8522,45.8716,29.064,312.519,311.495,0.473379
mode,session_0545152840,user12,120,18,18,1100,1300,1.6
iqr,session_0545152840,user12,383.395,231.797,172.063,869.599,892.141,1.05719
stdev,session_0545152840,user12,729.081,590.215,452.833,1504.11,1482.37,0.561711
min,session_0545152840,user12,0.042878,0.042878,0.094268,0.005956,0.009291,0.012499
max,session_0545152840,user12,9060.77,7720,5486.24,22960.3,21190.4,1.5708
range,session_0545152840,user12,9060.72,7719.96,5486.14,22960.3,21190.4,1.5583
mean,session_0610569527,user12,535.267,413.328,274.437,1571.92,1991.29,0.472256
median,session_0610569527,user12,125.333,72.7273,27.5229,360.163,447.916,0.256151
mode,session_0610569527,user12,130,170,18,1200,1200,1.6
iqr,session_0610569527,user12,421.014,346.312,128.44,1235.74,1598.2,0.785398
stdev,session_0610569527,user12,1360.7,1025.71,916.418,3782.91,4386.01,0.528172
min,session_0610569527,user12,0.007516,0.007516,0.022861,0.002764,0.011329,0.008403
max,session_0610569527,user12,12739.7,9236.56,8774.19,32666,36130.6,1.5708
range,session_0610569527,user12,12739.7,9236.55,8774.17,32665.9,36130.6,1.56239
mean,session_0611188910,user12,344.956,273.249,152.868,1034.84,1239.97,0.653654
median,session_0611188910,user12,75.9876,27.5229,27.5229,253.523,308.719,0.480203
mode,session_0611188910,user12,110,9.2,9.2,1100,1100,1.6
iqr,session_0611188910,user12,281.692,201.833,116.336,889.296,1080.81,1.2495
stdev,session_0611188910,user12,905.056,785.39,472.507,2497.02,2920.7,0.602732
min,session_0611188910,user12,0.015773,0.015773,0.005934,0.025524,0.003783,0.002681
max,session_0611188910,user12,10285.9,9009.17,6425.53,28738.4,34225.3,1.5708
range,session_0611188910,user12,10285.9,9009.16,6425.53,28738.4,34225.3,1.56811
mean,session_0718520474,user12,291.195,184.583,176.204,890.88,963.271,0.747451
median,session_0718520474,user12,57.289,14.1844,23.2558,262.073,325.917,0.785398
mode,session_0718520474,user12,120,9.2,18,110,1300,1.6
iqr,session_0718520474,user12,261.366,111.046,170.042,788.692,895.756,1.39207
stdev,session_0718520474,user12,739.733,630.146,412.085,1996.52,1835.77,0.624537
min,session_0718520474,user12,0.099542,0.129232,0.099542,0.009742,0.016148,0.013888
max,session_0718520474,user12,10356.8,9330.28,4495.41,27899.9,19492.9,1.5708
range,session_0718520474,user12,10356.7,9330.15,4495.31,27899.9,19492.8,1.55691
mean,session_0756345960,user12,616.686,491.296,289.044,2163.62,2431.98,0.636137
median,session_0756345960,user12,147.075,45.8716,32,423.443,557.571,0.480862
mode,session_0756345960,user12,120,18,18,1100,1300,1.6
iqr,session_0756345960,user12,468.968,308.623,178.95,1210.44,1569.58,1.18883
stdev,session_0756345960,user12,1855.11,1649.33,881.262,6412.32,6344.26,0.598023
min,session_0756345960,user12,0.351307,0.314218,0.157109,0.087843,2.89805,0.004717
max,session_0756345960,user12,14784.1,13128.4,7256.88,42844.5,54270.9,1.5708
range,session_0756345960,user12,14783.8,13128.1,7256.72,42844.4,54268,1.56608
mean,session_0767152123,user12,487.377,369.448,259.42,1417.47,1466.6,0.56207
median,session_0767152123,user12,51.4531,21.3675,15.066,195.048,221.281,0.345158
mode,session_0767152123,user12,110,64,9.2,140,130,1.6
iqr,session_0767152123,user12,315.351,208.818,103.229,870.4,1044.73,1.10715
stdev,session_0767152123,user12,2138.07,1644.43,1378.76,7858.79,5022.65,0.580325
min,session_0767152123,user12,0.036176,0.036176,0.060136,0.008942,0.015242,0.004525
max,session_0767152123,user12,69028.3,52875,44375,275601,148997,1.5708
